,Movie,Distributor,Genre,MPAA,Book_Based,Production_Budget,Worldwide_Gross,Release Year,award_winning,Genre_Number
0,Pitch Perfect 3,Universal,Comedy,PG-13,0,"$45,000,000","$185,736,412",2017,0,0
1,Thor: Ragnarok,Walt Disney,Action,PG-13,0,"$180,000,000","$846,980,024",2017,1,1
2,Justice League,Warner Bros.,Action,PG-13,0,"$300,000,000","$655,953,446",2017,1,1
3,Dunkirk,Warner Bros.,Action,PG-13,0,"$150,000,000","$499,900,860",2017,1,1
4,Get Out,Universal,Horror,R,0,"$5,000,000","$255,368,134",2017,0,2
5,Beauty and the Beast,Walt Disney,Musical,PG,0,"$160,000,000","$1,259,199,706",2017,1,3
6,Despicable Me 3,Universal,Adventure,PG,0,"$75,000,000","$1,034,748,190",2017,1,4
7,Logan,20th Century Fox,Action,R,0,"$127,000,000","$615,476,965",2017,0,1
8,The Fate of the Furious,Universal,Action,PG-13,0,"$250,000,000","$1,234,908,020",2017,1,1
9,The Lego Batman Movie,Warner Bros.,Adventure,PG,0,"$80,000,000","$310,692,896",2017,0,4
10,The Boss Baby,20th Century Fox,Adventure,PG,0,"$125,000,000","$510,888,357",2017,0,4
11,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney,Adventure,PG-13,0,"$230,000,000","$788,241,137",2017,1,4
12,Kong: Skull Island,Warner Bros.,Adventure,PG-13,0,"$185,000,000","$561,089,941",2017,1,4
13,Hidden Figures,20th Century Fox,Drama,PG,0,"$25,000,000","$231,771,716",2016,1,5
14,Cars 3,Walt Disney,Adventure,G,0,"$175,000,000","$383,549,151",2017,1,4
15,War for the Planet of the Apes,20th Century Fox,Action,PG-13,0,"$152,000,000","$489,592,267",2017,0,1
16,Transformers: The Last Knight,Paramount Pictures,Action,PG-13,0,"$217,000,000","$602,893,340",2017,1,1
17,La La Land,Lionsgate,Musical,PG-13,0,"$20,000,000","$427,834,973",2016,1,3
18,Girls Trip,Universal,Comedy,R,0,"$28,000,000","$140,886,353",2017,0,0
19,Fifty Shades Darker,Universal,Drama,R,0,"$55,000,000","$381,437,482",2017,1,5
20,Baby Driver,Sony Pictures,Thriller/Suspense,R,0,"$34,000,000","$228,104,185",2017,1,6
21,Rogue One: A Star Wars Story,Walt Disney,Adventure,PG-13,0,"$200,000,000","$1,049,175,577",2016,1,4
22,Sing,Universal,Adventure,PG,0,"$75,000,000","$634,458,571",2016,1,4
23,Sing,Universal,Adventure,PG,0,"$75,000,000","$634,458,571",2016,0,4
24,The Emoji Movie,Sony Pictures,Adventure,PG,0,"$50,000,000","$216,508,381",2017,0,4
25,Power Rangers,Lionsgate,Action,PG-13,0,"$120,000,000","$142,534,143",2017,0,1
26,The Mummy,Universal,Adventure,PG-13,0,"$195,000,000","$409,953,905",2017,1,4
27,Alien: Covenant,20th Century Fox,Horror,R,0,"$97,000,000","$238,521,247",2017,0,2
28,Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,PG,0,"$38,000,000","$126,577,874",2017,0,4
29,Baywatch,Paramount Pictures,Comedy,R,0,"$60,000,000","$175,869,759",2017,0,0
30,Atomic Blonde,Focus Features,Thriller/Suspense,R,0,"$30,000,000","$98,345,423",2017,1,6
31,The Dark Tower,Sony Pictures,Western,PG-13,1,"$60,000,000","$113,443,235",2017,1,7
32,Lion,Weinstein Co.,Drama,PG-13,0,"$12,000,000","$149,573,025",2016,1,5
33,Snatched,20th Century Fox,Comedy,R,0,"$42,000,000","$57,852,177",2017,1,0
34,Smurfs: The Lost Village,Sony Pictures,Adventure,PG,0,"$60,000,000","$197,422,438",2017,1,4
35,Going in Style,Warner Bros.,Comedy,PG-13,0,"$24,000,000","$78,673,103",2017,1,0
36,All Eyez on Me,Lionsgate,Drama,R,0,"$45,000,000","$54,876,855",2017,0,5
37,Passengers,Sony Pictures,Thriller/Suspense,PG-13,0,"$110,000,000","$302,239,672",2016,1,6
38,The Big Sick,Lionsgate,Romantic Comedy,R,0,"$5,000,000","$53,957,031",2017,1,8
39,Ghost in the Shell,Paramount Pictures,Action,PG-13,0,"$110,000,000","$167,918,847",2017,1,1
40,Valerian and the City of a Thousand Planets,STX Entertainment,Adventure,PG-13,0,"$180,000,000","$215,098,499",2017,0,4
41,King Arthur: Legend of the Sword,Warner Bros.,Adventure,PG-13,0,"$175,000,000","$139,950,708",2017,0,4
42,Moana,Walt Disney,Musical,PG,0,"$150,000,000","$637,519,488",2016,0,3
43,"Everything, Everything",Warner Bros.,Drama,PG-13,0,"$10,000,000","$61,604,439",2017,0,5
44,Fist Fight,Warner Bros.,Comedy,R,0,"$25,000,000","$40,287,017",2017,0,0
45,How to Be a Latin Lover,Lionsgate,Comedy,PG-13,0,"$10,000,000","$62,556,228",2017,0,0
46,Patriots Day,Lionsgate,Thriller/Suspense,R,0,"$40,000,000","$52,837,989",2016,1,6
47,Kidnap,Aviron Pictures,Thriller/Suspense,R,0,"$21,000,000","$34,836,080",2017,1,6
48,Life,Sony Pictures,Thriller/Suspense,R,0,"$58,000,000","$100,929,803",2017,0,6
49,Why Him?,20th Century Fox,Comedy,R,0,"$38,000,000","$117,439,538",2016,0,0
50,Fences,Paramount Pictures,Drama,PG-13,0,"$24,000,000","$64,282,881",2016,1,5
51,Rings,Paramount Pictures,Horror,PG-13,0,"$25,000,000","$82,933,201",2017,0,2
52,The House,Warner Bros.,Comedy,R,0,"$40,000,000","$31,192,743",2017,0,0
53,The Bye Bye Man,STX Entertainment,Thriller/Suspense,PG-13,0,"$7,400,000","$31,191,742",2017,1,6
54,Rough Night,Sony Pictures,Black Comedy,R,0,"$20,000,000","$46,844,357",2017,0,9
55,Diary of a Wimpy Kid: The Long Haul,20th Century Fox,Adventure,PG,0,"$22,000,000","$35,608,734",2017,0,4
56,The Circle,STX Entertainment,Thriller/Suspense,PG-13,0,"$18,000,000","$40,651,864",2017,1,6
57,Baahubali 2: The Conclusion,Great India Films,Action,Not Rated,0,"$30,000,000","$263,502,914",2017,0,1
58,CHiPS,Warner Bros.,Action,R,0,"$25,000,000","$23,190,697",2017,1,1
59,Moonlight,A24,Drama,R,0,"$1,500,000","$65,245,683",2016,0,5
60,Wish Upon,Broad Green Pictures,Horror,PG-13,0,"$12,000,000","$23,477,345",2017,0,2
61,It Comes at Night,A24,Horror,R,0,"$5,000,000","$19,720,203",2017,0,2
62,Before I Fall,Open Road,Drama,PG-13,0,"$5,000,000","$18,945,682",2017,0,5
63,Unforgettable,Warner Bros.,Thriller/Suspense,R,0,"$12,000,000","$16,221,211",2017,1,6
64,Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,PG-13,0,"$180,000,000","$802,437,668",2016,1,4
65,Live by Night,Warner Bros.,Drama,R,0,"$65,000,000","$21,778,555",2016,1,5
66,Arrival,Paramount Pictures,Drama,PG-13,0,"$47,000,000","$203,162,211",2016,1,5
67,The Promise,Open Road,Drama,PG-13,0,"$90,000,000","$10,551,417",2017,1,5
68,The Space Between Us,STX Entertainment,Drama,PG-13,0,"$30,000,000","$16,481,405",2017,0,5
69,Jackie,Fox Searchlight,Drama,R,0,"$9,000,000","$36,593,070",2016,1,5
70,Silence,Paramount Pictures,Drama,R,0,"$46,500,000","$23,727,516",2016,0,5
71,Collateral Beauty,Warner Bros.,Drama,PG-13,0,"$36,000,000","$85,315,070",2016,1,5
72,Office Christmas Party,Paramount Pictures,Comedy,R,0,"$45,000,000","$91,334,989",2016,0,0
73,Table 19,Fox Searchlight,Comedy,PG-13,0,"$5,000,000","$4,620,399",2017,0,0
74,Trolls,20th Century Fox,Adventure,PG,0,"$125,000,000","$344,118,105",2016,0,4
75,Dangal,UTV Communications,Action,Not Rated,0,"$9,500,000","$294,654,618",2016,0,1
76,Hacksaw Ridge,Lionsgate,Drama,R,0,"$40,000,000","$168,940,583",2016,0,5
77,Doctor Strange,Walt Disney,Action,PG-13,0,"$165,000,000","$676,486,457",2016,1,1
78,Paterson,Bleecker Street,Comedy,R,0,"$5,000,000","$10,736,759",2016,0,0
79,The Wall,Roadside Attractions,Thriller/Suspense,R,0,"$3,000,000","$4,495,262",2017,0,6
80,Free Fire,A24,Action,R,0,"$10,000,000","$3,793,739",2017,1,1
81,The Polar Express,Warner Bros.,Adventure,G,1,"$170,000,000","$310,634,169",2004,1,4
82,Titanic,Paramount Pictures,Thriller/Suspense,PG-13,0,"$200,000,000","$2,208,208,395",1997,1,6
83,Bitter Harvest,Roadside Attractions,Drama,R,0,"$21,000,000","$606,162",2017,1,5
84,Allied,Paramount Pictures,Drama,R,0,"$106,000,000","$119,280,834",2016,1,5
85,Nocturnal Animals,Focus Features,Thriller/Suspense,R,0,"$22,500,000","$32,398,726",2016,0,6
86,The Accountant,Warner Bros.,Thriller/Suspense,R,0,"$40,000,000","$152,967,088",2016,1,6
87,Storks,Warner Bros.,Adventure,PG,0,"$70,000,000","$183,371,420",2016,0,4
88,Loving,Focus Features,Drama,PG-13,0,"$9,000,000","$12,898,064",2016,0,5
89,Jack Reacher: Never Go Back,Paramount Pictures,Action,PG-13,0,"$60,000,000","$159,949,448",2016,0,1
90,Inferno,Sony Pictures,Thriller/Suspense,PG-13,0,"$75,000,000","$219,561,188",2016,1,6
91,Sully,Warner Bros.,Drama,PG-13,0,"$60,000,000","$238,535,513",2016,1,5
92,Almost Christmas,Universal,Drama,PG-13,0,"$17,000,000","$42,493,506",2016,1,5
93,The Edge of Seventeen,STX Entertainment,Drama,R,0,"$9,000,000","$19,096,003",2016,0,5
94,The Magnificent Seven,Sony Pictures,Western,PG-13,0,"$90,000,000","$162,526,238",2016,1,7
95,Miss Sloane,EuropaCorp,Drama,R,0,"$18,000,000","$7,729,540",2016,0,5
96,Shut In,EuropaCorp,Thriller/Suspense,R,0,"$10,000,000","$11,361,362",2016,0,6
97,Finding Dory,Walt Disney,Adventure,PG,0,"$200,000,000","$1,021,350,883",2016,1,4
98,Captain America: Civil War,Walt Disney,Action,PG-13,0,"$250,000,000","$1,140,081,024",2016,1,1
99,The Secret Life of Pets,Universal,Adventure,PG,0,"$75,000,000","$886,767,422",2016,0,4
100,The Jungle Book,Walt Disney,Adventure,PG,1,"$175,000,000","$962,872,701",2016,1,4
101,Deadpool,20th Century Fox,Action,R,0,"$58,000,000","$801,029,249",2016,0,1
102,Batman v Superman: Dawn of Justice,Warner Bros.,Action,PG-13,0,"$250,000,000","$867,504,099",2016,1,1
103,Suicide Squad,Warner Bros.,Action,PG-13,0,"$175,000,000","$746,069,242",2016,1,1
104,The Revenant,20th Century Fox,Adventure,R,0,"$135,000,000","$532,950,503",2015,0,4
105,Jason Bourne,Universal,Action,PG-13,0,"$120,000,000","$416,170,681",2016,1,1
106,Star Trek Beyond,Paramount Pictures,Adventure,PG-13,0,"$185,000,000","$335,802,233",2016,0,4
107,Kung Fu Panda 3,20th Century Fox,Adventure,PG,0,"$140,000,000","$517,601,713",2016,1,4
108,Ghostbusters,Sony Pictures,Comedy,PG-13,0,"$144,000,000","$229,012,195",2016,1,0
109,Central Intelligence,Warner Bros.,Comedy,PG-13,0,"$50,000,000","$217,196,811",2016,0,0
110,The Legend of Tarzan,Warner Bros.,Adventure,PG-13,0,"$180,000,000","$348,904,242",2016,1,4
111,Bad Moms,STX Entertainment,Comedy,R,0,"$20,000,000","$180,998,746",2016,0,0
112,The Angry Birds Movie,Sony Pictures,Adventure,PG,0,"$73,000,000","$352,330,117",2016,1,4
113,Independence Day: Resurgence,20th Century Fox,Action,PG-13,0,"$165,000,000","$384,173,643",2016,0,1
114,Sausage Party,Sony Pictures,Comedy,R,0,"$19,000,000","$141,354,394",2016,0,0
115,Ride Along 2,Universal,Comedy,PG-13,0,"$40,000,000","$124,827,316",2016,0,0
116,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,Adventure,PG-13,0,"$135,000,000","$245,330,198",2016,0,4
117,The Purge: Election Year,Universal,Horror,R,0,"$10,000,000","$118,517,130",2016,0,2
118,Alice Through the Looking Glass,Walt Disney,Adventure,PG,0,"$170,000,000","$276,934,087",2016,1,4
119,The Girl on the Train,Universal,Thriller/Suspense,R,0,"$45,000,000","$174,304,381",2016,0,6
120,10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,PG-13,0,"$5,000,000","$108,286,422",2016,0,6
121,Lights Out,Warner Bros.,Horror,PG-13,0,"$5,000,000","$148,807,333",2016,0,2
122,Now You See Me 2,Lionsgate,Thriller/Suspense,PG-13,0,"$90,000,000","$328,328,887",2016,1,6
123,Ice Age: Collision Course,20th Century Fox,Adventure,PG,0,"$105,000,000","$402,213,602",2016,0,4
124,The Boss,Universal,Comedy,R,0,"$29,000,000","$78,652,395",2016,1,0
125,London Has Fallen,Focus Features,Action,R,0,"$60,000,000","$195,194,223",2016,1,1
126,Miracles from Heaven,Sony Pictures,Drama,PG,0,"$13,000,000","$73,798,720",2016,0,5
127,Deepwater Horizon,Lionsgate,Drama,PG-13,0,"$156,000,000","$122,606,772",2016,0,5
128,My Big Fat Greek Wedding 2,Universal,Comedy,PG-13,0,"$18,000,000","$92,092,715",2016,0,0
129,Me Before You,Warner Bros.,Drama,PG-13,0,"$20,000,000","$208,266,012",2016,1,5
130,The BFG,Walt Disney,Adventure,PG,1,"$140,000,000","$199,652,899",2016,1,4
131,Neighbors 2: Sorority Rising,Universal,Comedy,R,0,"$35,000,000","$108,758,521",2016,0,0
132,The Shallows,Sony Pictures,Drama,PG-13,0,"$13,000,000","$118,763,442",2016,0,5
133,Barbershop: The Next Cut,Warner Bros.,Comedy,PG-13,0,"$20,000,000","$54,404,202",2016,0,0
134,13 Hours: The Secret Soldiers of Benghazi,Paramount Pictures,Drama,R,0,"$50,000,000","$69,411,370",2016,0,5
135,Kubo and the Two Strings,Focus Features,Adventure,PG,0,"$55,000,000","$77,548,564",2016,1,4
136,Warcraft,Universal,Action,PG-13,0,"$160,000,000","$425,526,153",2016,0,1
137,Mike and Dave Need Wedding Dates,20th Century Fox,Comedy,R,0,"$33,000,000","$75,898,325",2016,0,0
138,War Dogs,Warner Bros.,Comedy,R,0,"$50,000,000","$86,234,523",2016,0,0
139,Money Monster,Sony Pictures,Thriller/Suspense,R,0,"$27,000,000","$93,469,699",2016,1,6
140,Nerve,Lionsgate,Thriller/Suspense,PG-13,0,"$20,000,000","$70,650,033",2016,0,6
141,Sisters,Universal,Comedy,R,0,"$30,000,000","$106,030,660",2015,1,0
142,The Big Short,Paramount Pictures,Drama,R,0,"$28,000,000","$133,162,752",2015,1,5
143,Risen,Sony Pictures,Drama,PG-13,0,"$20,000,000","$46,255,763",2016,0,5
144,The Nice Guys,Warner Bros.,Black Comedy,R,0,"$50,000,000","$59,597,115",2016,1,9
145,The Boy,STX Entertainment,Horror,PG-13,0,"$10,000,000","$68,220,952",2016,0,2
146,Dirty Grandpa,Lionsgate,Comedy,R,0,"$11,500,000","$105,241,410",2016,1,0
147,Ouija: Origin of Evil,Universal,Horror,PG-13,0,"$9,000,000","$81,831,866",2016,0,2
148,The 5th Wave,Sony Pictures,Action,PG-13,0,"$38,000,000","$111,336,398",2016,0,1
149,Gods of Egypt,Lionsgate,Adventure,PG-13,0,"$140,000,000","$138,851,895",2016,1,4
150,Alvin and the Chipmunks: The Road Chip,20th Century Fox,Adventure,PG,0,"$90,000,000","$249,517,956",2015,0,4
151,"Hail, Caesar!",Universal,Comedy,PG-13,0,"$22,000,000","$64,160,680",2016,1,0
152,When the Bough Breaks,Sony Pictures,Thriller/Suspense,PG-13,0,"$10,000,000","$30,768,449",2016,0,6
153,Joy,20th Century Fox,Drama,PG-13,0,"$60,000,000","$101,134,059",2015,1,5
154,The Finest Hours,Walt Disney,Thriller/Suspense,PG,0,"$70,000,000","$49,252,761",2016,0,6
155,Florence Foster Jenkins,Paramount Pictures,Drama,PG-13,0,"$29,000,000","$56,004,760",2016,1,5
156,Hell or High Water,Lionsgate,Western,R,0,"$12,000,000","$37,584,304",2016,1,7
157,The Forest,Focus / Gramercy,Thriller/Suspense,PG-13,1,"$10,000,000","$40,749,230",2016,0,6
158,Ben-Hur,Paramount Pictures,Drama,PG-13,1,"$95,000,000","$91,669,721",2016,1,5
159,The Witch,A24,Horror,R,0,"$3,500,000","$40,454,520",2016,0,2
160,The Hateful Eight,Weinstein Co.,Western,R,0,"$62,000,000","$147,864,886",2015,0,7
161,Whiskey Tango Foxtrot,Paramount Pictures,Comedy,R,0,"$35,000,000","$25,350,747",2016,1,0
162,Snowden,Open Road,Drama,R,0,"$50,000,000","$35,382,883",2016,1,5
163,Mechanic: Resurrection,Lionsgate,Action,R,0,"$40,000,000","$109,785,253",2016,1,1
164,Free State of Jones,STX Entertainment,Drama,R,0,"$50,000,000","$23,237,175",2016,1,5
165,Blair Witch,Lionsgate,Horror,R,0,"$10,000,000","$38,985,731",2016,0,2
166,Keanu,Warner Bros.,Comedy,R,0,"$15,000,000","$20,688,141",2016,0,0
167,Middle School: The Worst Years of My Life,Lionsgate,Adventure,PG,0,"$8,500,000","$23,311,425",2016,0,4
168,Race,Focus Features,Drama,PG-13,0,"$5,000,000","$23,745,772",2016,1,5
169,Brooklyn,Fox Searchlight,Drama,PG-13,0,"$11,000,000","$62,076,141",2015,1,5
170,Spotlight,Open Road,Drama,R,0,"$20,000,000","$92,088,460",2015,0,5
171,Concussion,Sony Pictures,Drama,PG-13,0,"$35,000,000","$50,363,790",2015,0,5
172,Norm of the North,Lionsgate,Adventure,PG,0,"$18,000,000","$30,535,660",2016,0,4
173,The Birth of a Nation,Fox Searchlight,Drama,R,1,"$10,000,000","$16,891,011",2016,0,5
174,Eddie the Eagle,20th Century Fox,Drama,PG-13,0,"$23,000,000","$45,061,177",2016,1,5
175,The Infiltrator,Broad Green Pictures,Thriller/Suspense,R,0,"$47,500,000","$20,718,140",2016,1,6
176,Criminal,Lionsgate,Action,R,0,"$31,500,000","$38,771,262",2016,1,1
177,Point Break,Warner Bros.,Action,PG-13,0,"$100,000,000","$126,704,591",2015,0,1
178,Triple 9,Open Road,Thriller/Suspense,R,0,"$20,000,000","$25,943,792",2016,1,6
179,The Light Between Oceans,Walt Disney,Drama,PG-13,0,"$20,000,000","$22,282,236",2016,1,5
180,Fifty Shades of Black,Open Road,Comedy,R,0,"$5,000,000","$22,113,075",2016,0,0
181,Pride and Prejudice and Zombies,Sony Pictures,Black Comedy,PG-13,0,"$28,000,000","$16,638,300",2016,0,9
182,The Darkness,High Top Releasing,Horror,PG-13,0,"$4,000,000","$10,898,293",2016,0,2
183,Creed,Warner Bros.,Drama,PG-13,0,"$37,000,000","$173,567,581",2015,0,5
184,Room,A24,Drama,R,0,"$13,000,000","$36,262,783",2015,0,5
185,The Perfect Match,Lionsgate,Romantic Comedy,R,0,"$5,000,000","$10,182,050",2016,0,8
186,Popstar: Never Stop Never Stopping,Universal,Comedy,R,0,"$20,000,000","$9,537,120",2016,0,0
187,The Good Dinosaur,Walt Disney,Adventure,PG,0,"$187,500,000","$333,771,037",2015,1,4
188,Carol,Weinstein Co.,Drama,R,0,"$11,800,000","$42,895,440",2015,1,5
189,The Hunger Games: Mockingjay - Part 2,Lionsgate,Thriller/Suspense,PG-13,0,"$160,000,000","$648,986,787",2015,1,6
190,The Young Messiah,Focus Features,Drama,PG-13,0,"$16,800,000","$7,313,697",2016,0,5
191,Sultan,Yash Raj Films,Action,Not Rated,0,"$11,000,000","$72,989,781",2016,0,1
192,Hunt for the Wilderpeople,The Orchard,Comedy,PG-13,0,"$2,500,000","$23,845,533",2016,0,0
193,Bleed for This,Open Road,Drama,R,0,"$16,000,000","$6,603,926",2016,0,5
194,Incarnate,High Top Releasing,Thriller/Suspense,PG-13,0,"$5,000,000","$9,373,810",2016,0,6
195,Hands of Stone,Weinstein Co.,Drama,R,0,"$20,000,000","$5,032,013",2016,1,5
196,The Meddler,Sony Pictures Classics,Comedy,PG-13,0,"$3,200,000","$5,526,942",2016,1,0
197,A Hologram for the King,Roadside Attractions,Drama,R,0,"$35,000,000","$11,846,577",2016,1,5
198,Swiss Army Man,A24,Drama,R,0,"$3,000,000","$5,837,111",2016,0,5
199,Denial,Bleecker Street,Drama,PG-13,0,"$10,000,000","$9,263,940",2016,1,5
200,Morgan,20th Century Fox,Thriller/Suspense,R,0,"$8,000,000","$7,298,786",2016,0,6
201,Max Steel,Open Road,Action,PG-13,0,"$10,000,000","$4,563,080",2016,0,1
202,Midnight Special,Warner Bros.,Drama,PG-13,0,"$18,000,000","$7,680,250",2016,0,5
203,Green Room,A24,Horror,R,0,"$5,000,000","$3,807,503",2016,0,2
204,Compadres,Lionsgate,Comedy,R,0,"$3,000,000","$7,445,044",2016,0,0
205,The Martian,20th Century Fox,Thriller/Suspense,PG-13,0,"$108,000,000","$655,271,443",2015,0,6
206,Spectre,Sony Pictures,Action,PG-13,0,"$300,000,000","$879,620,923",2015,1,1
207,The Disappointments Room,Relativity,Horror,R,0,"$15,000,000","$3,503,761",2016,0,2
208,Greater,Hammond Entertainment,Drama,PG,0,"$9,000,000","$2,000,093",2016,0,5
209,In the Heart of the Sea,Warner Bros.,Adventure,PG-13,0,"$100,000,000","$89,693,309",2015,1,4
210,The Peanuts Movie,20th Century Fox,Adventure,G,0,"$99,000,000","$250,091,610",2015,0,4
211,Bridge of Spies,Walt Disney,Thriller/Suspense,PG-13,0,"$40,000,000","$162,498,338",2015,1,6
212,Jane Got a Gun,Weinstein Co.,Western,R,0,"$25,000,000","$3,771,345",2016,1,7
213,Genius,Roadside Attractions,Drama,PG-13,0,"$17,000,000","$7,265,320",2016,1,5
214,The Neon Demon,Broad Green Pictures,Horror,R,0,"$7,500,000","$3,559,803",2016,0,2
215,Krampus,Universal,Black Comedy,PG-13,0,"$15,000,000","$61,788,393",2015,0,9
216,Hotel Transylvania 2,Sony Pictures,Adventure,PG,0,"$80,000,000","$469,500,298",2015,0,4
217,Operation Chromite,CJ Entertainment,Action,Not Rated,0,"$12,700,000","$49,196,532",2016,0,1
218,Goosebumps,Sony Pictures,Horror,PG,0,"$58,000,000","$158,905,324",2015,0,2
219,American Honey,A24,Drama,R,0,"$3,500,000","$2,611,750",2016,0,5
220,Mustang,Cohen Media Group,Drama,PG-13,0,"$1,400,000","$5,552,584",2015,0,5
221,The Bronze,Sony Pictures Classics,Black Comedy,R,0,"$3,500,000","$615,816",2016,0,9
222,Mad Max: Fury Road,Warner Bros.,Action,R,0,"$150,000,000","$370,098,020",2015,1,1
223,The Intern,Warner Bros.,Comedy,PG-13,0,"$40,000,000","$197,115,710",2015,1,0
224,The Masked Saint,Freestyle Releasing,Action,PG-13,0,"$3,500,000","$182,695",2016,0,1
225,The 33,Warner Bros.,Drama,PG-13,0,"$25,000,000","$28,400,715",2015,1,5
226,The Night Before,Sony Pictures,Comedy,R,0,"$25,000,000","$52,427,346",2015,0,0
227,Kicks,Focus World,Adventure,R,0,"$10,000,000","$150,191",2016,0,4
228,Love the Coopers,CBS Films,Comedy,PG-13,0,"$18,000,000","$42,227,490",2015,1,0
229,A Street Cat Named Bob,Cleopatra Films,Drama,Not Rated,0,"$8,000,000","$17,382,693",2016,0,5
230,Maze Runner: The Scorch Trials,20th Century Fox,Thriller/Suspense,PG-13,0,"$61,000,000","$310,566,162",2015,0,6
231,Sicario,Lionsgate,Thriller/Suspense,R,0,"$30,000,000","$84,397,880",2015,1,6
232,Secret in Their Eyes,STX Entertainment,Thriller/Suspense,PG-13,0,"$20,000,000","$32,608,019",2015,1,6
233,Burnt,Weinstein Co.,Comedy,R,0,"$20,000,000","$36,773,510",2015,1,0
234,Suffragette,Focus Features,Drama,PG-13,0,"$14,000,000","$34,044,909",2015,1,5
235,Pan,Warner Bros.,Adventure,PG,0,"$150,000,000","$151,525,973",2015,0,4
236,Legend,Universal,Thriller/Suspense,R,0,"$25,000,000","$42,425,450",2015,0,6
237,Jurassic World,Universal,Action,PG-13,0,"$215,000,000","$1,648,893,208",2015,0,1
238,Inside Out,Walt Disney,Adventure,PG,0,"$175,000,000","$854,238,127",2015,0,4
239,Furious 7,Universal,Action,PG-13,0,"$190,000,000","$1,518,722,794",2015,0,1
240,American Sniper,Warner Bros.,Drama,R,0,"$58,000,000","$547,326,372",2014,0,5
241,Minions,Universal,Adventure,PG,0,"$74,000,000","$1,160,336,173",2015,1,4
242,Cinderella,Walt Disney,Drama,PG,0,"$95,000,000","$534,551,353",2015,1,5
243,Pitch Perfect 2,Universal,Comedy,PG-13,0,"$29,000,000","$287,625,468",2015,0,0
244,Ant-Man,Walt Disney,Action,PG-13,0,"$130,000,000","$518,860,086",2015,1,1
245,Home,20th Century Fox,Adventure,PG,0,"$130,000,000","$385,997,896",2015,0,4
246,Fifty Shades of Grey,Universal,Drama,R,0,"$40,000,000","$570,998,101",2015,1,5
247,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,Adventure,PG,0,"$74,000,000","$311,013,181",2015,1,4
248,Straight Outta Compton,Universal,Drama,R,0,"$28,000,000","$202,182,981",2015,1,5
249,San Andreas,Warner Bros.,Adventure,PG-13,0,"$110,000,000","$456,261,781",2015,0,4
250,Kingsman: The Secret Service,20th Century Fox,Action,R,0,"$94,000,000","$404,561,724",2015,1,1
251,Trainwreck,Universal,Comedy,R,0,"$35,000,000","$141,123,897",2015,1,0
252,Tomorrowland,Walt Disney,Adventure,PG,0,"$170,000,000","$206,627,817",2015,1,4
253,Get Hard,Warner Bros.,Comedy,R,0,"$40,000,000","$106,511,453",2015,0,0
254,Ted 2,Universal,Comedy,R,0,"$68,000,000","$217,214,143",2015,1,0
255,Pixels,Sony Pictures,Adventure,PG-13,0,"$90,000,000","$244,041,804",2015,0,4
256,Paul Blart: Mall Cop 2,Sony Pictures,Adventure,PG,0,"$38,000,000","$107,650,646",2015,1,4
257,War Room,Sony Pictures,Drama,PG,0,"$3,000,000","$73,975,239",2015,0,5
258,Magic Mike XXL,Warner Bros.,Comedy,R,0,"$14,500,000","$123,664,233",2015,0,0
259,The Visit,Universal,Thriller/Suspense,PG-13,0,"$5,000,000","$98,677,816",2015,0,6
260,The Wedding Ringer,Sony Pictures,Comedy,R,0,"$23,000,000","$80,171,596",2015,1,0
261,Black Mass,Warner Bros.,Drama,R,0,"$53,000,000","$98,837,872",2015,0,5
262,The Imitation Game,Weinstein Co.,Drama,PG-13,0,"$15,000,000","$227,740,463",2014,0,5
263,Vacation,Warner Bros.,Comedy,R,0,"$31,000,000","$102,306,500",2015,1,0
264,The Perfect Guy,Sony Pictures,Thriller/Suspense,PG-13,0,"$18,000,000","$60,278,166",2015,0,6
265,Fantastic Four,20th Century Fox,Action,PG-13,0,"$120,000,000","$167,977,596",2015,0,1
266,Focus,Warner Bros.,Romantic Comedy,PG-13,1,"$65,000,000","$168,065,700",2015,0,8
267,Unbroken,Universal,Drama,PG-13,0,"$65,000,000","$163,527,824",2014,0,5
268,Southpaw,Weinstein Co.,Drama,R,0,"$30,000,000","$94,207,861",2015,1,5
269,Jupiter Ascending,Warner Bros.,Action,PG-13,0,"$179,000,000","$181,982,519",2015,1,1
270,Poltergeist,20th Century Fox,Horror,PG-13,0,"$35,000,000","$95,718,291",2015,0,2
271,"McFarland, USA",Walt Disney,Drama,PG,0,"$17,000,000","$45,707,924",2015,0,5
272,Night at the Museum: Secret of the Tomb,20th Century Fox,Adventure,PG,0,"$127,000,000","$353,756,621",2014,1,4
273,The Gift,STX Entertainment,Thriller/Suspense,R,0,"$5,000,000","$58,978,653",2015,0,6
274,Everest,Universal,Thriller/Suspense,PG-13,0,"$65,000,000","$221,297,061",2015,0,6
275,Max,Warner Bros.,Adventure,PG,0,"$20,000,000","$43,658,157",2015,0,4
276,The Age of Adaline,Lionsgate,Drama,PG-13,0,"$30,000,000","$68,984,536",2015,1,5
