,Movie,Distributor,Genre,MPAA,Book_Based,Production_Budget,Worldwide_Gross,Release Year,award_winning,Genre_Number
1047,Blood Done Sign My Name,Paladin,Drama,PG-13,0,"$10,000,000","$109,383",2010,0,5
1048,Wild Target,Freestyle Releasing,Comedy,PG-13,0,"$8,000,000","$5,314,194",2010,0,0
1049,After.Life,,Horror,R,0,"$4,500,000","$2,481,925",2010,0,2
1050,Freakonomics,Magnolia Pictures,Documentary,PG-13,0,"$2,900,000","$172,867",2010,0,10
1051,8: The Mormon Proposition,,Documentary,R,0,"$2,500,000","$100,280",2010,0,10
1052,Astro Boy,Summit Entertainment,Adventure,PG,0,"$65,000,000","$41,636,243",2009,1,4
1053,I Spit on Your Grave,Anchor Bay Entertainment,Horror,R,0,"$1,750,000","$1,278,471",2010,0,2
1054,Amelia,Fox Searchlight,Drama,PG,0,"$40,000,000","$19,756,077",2009,1,5
1055,Ca$h,Roadside Attractions,Thriller/Suspense,R,0,"$7,000,000","$46,488",2010,1,6
1056,A Serious Man,Focus Features,Comedy,R,0,"$7,000,000","$30,360,570",2009,0,0
1057,The Damned United,Sony Pictures Classics,Drama,R,1,"$6,400,000","$4,199,874",2009,1,5
1058,The Box,Warner Bros.,Thriller/Suspense,PG-13,0,"$25,000,000","$26,341,896",2009,1,6
1059,Transformers: Revenge of the Fallen,Paramount Pictures,Action,PG-13,0,"$210,000,000","$836,519,699",2009,0,1
1060,Harry Potter and the Half-Blood Prince,Warner Bros.,Adventure,PG,1,"$250,000,000","$935,083,686",2009,1,4
1061,Up,Walt Disney,Adventure,PG,0,"$175,000,000","$731,463,377",2009,0,4
1062,The Hangover,Warner Bros.,Comedy,R,0,"$35,000,000","$465,764,086",2009,0,0
1063,Star Trek,Paramount Pictures,Adventure,PG-13,0,"$140,000,000","$385,680,446",2009,1,4
1064,Ice Age: Dawn of the Dinosaurs,20th Century Fox,Adventure,PG,0,"$90,000,000","$859,701,857",2009,0,4
1065,Night at the Museum: Battle of the Smithsonian,20th Century Fox,Adventure,PG,0,"$150,000,000","$402,231,063",2009,1,4
1066,The Proposal,Walt Disney,Romantic Comedy,PG-13,0,"$40,000,000","$314,709,717",2009,1,8
1067,Fast & Furious,Universal,Action,PG-13,0,"$85,000,000","$363,064,265",2009,0,1
1068,G.I. Joe: The Rise of Cobra,Paramount Pictures,Action,PG-13,0,"$175,000,000","$302,469,017",2009,0,1
1069,Paul Blart: Mall Cop,Sony Pictures,Adventure,PG,0,"$26,000,000","$185,904,750",2009,0,4
1070,Angels & Demons,Sony Pictures,Thriller/Suspense,PG-13,1,"$150,000,000","$490,875,846",2009,1,6
1071,Terminator Salvation,Warner Bros.,Action,PG-13,0,"$200,000,000","$365,491,792",2009,0,1
1072,Inglourious Basterds,Weinstein Co.,Action,R,0,"$70,000,000","$316,915,264",2009,0,1
1073,G-Force,Walt Disney,Adventure,PG,0,"$150,000,000","$292,817,841",2009,1,4
1074,District 9,Sony Pictures,Thriller/Suspense,R,0,"$30,000,000","$212,453,431",2009,0,6
1075,Slumdog Millionaire,Fox Searchlight,Drama,R,0,"$14,000,000","$384,530,440",2008,0,5
1076,Watchmen,Warner Bros.,Action,R,0,"$138,000,000","$186,976,250",2009,0,1
1077,Public Enemies,Universal,Drama,R,0,"$102,500,000","$212,282,709",2009,1,5
1078,Julie & Julia,Sony Pictures,Comedy,PG-13,0,"$40,000,000","$126,646,119",2009,1,0
1079,He's Just Not That Into You,Warner Bros.,Romantic Comedy,PG-13,0,"$40,000,000","$181,053,657",2009,1,8
1080,The Ugly Truth,Sony Pictures,Romantic Comedy,R,0,"$38,000,000","$205,298,907",2009,1,8
1081,Knowing,Summit Entertainment,Thriller/Suspense,PG-13,0,"$50,000,000","$186,450,317",2009,1,6
1082,Coraline,Focus Features,Adventure,PG,0,"$60,000,000","$126,037,057",2009,0,4
1083,Hotel for Dogs,Paramount Pictures,Adventure,PG,0,"$35,000,000","$122,357,172",2009,0,4
1084,"I Love You, Man",Paramount Pictures,Comedy,R,0,"$40,000,000","$92,302,502",2009,0,0
1085,Obsessed,Sony Pictures,Thriller/Suspense,PG-13,0,"$20,000,000","$73,964,713",2009,0,6
1086,Race to Witch Mountain,Walt Disney,Adventure,PG,1,"$50,000,000","$105,103,784",2009,0,4
1087,The Final Destination,Warner Bros.,Horror,R,0,"$40,000,000","$187,384,627",2009,0,2
1088,Friday the 13th,Warner Bros.,Horror,R,0,"$17,000,000","$92,670,237",2009,0,2
1089,17 Again,Warner Bros.,Comedy,PG-13,0,"$40,000,000","$139,474,906",2009,0,0
1090,The Time Traveler's Wife,Warner Bros.,Drama,PG-13,1,"$39,000,000","$102,332,135",2009,0,5
1091,Bride Wars,20th Century Fox,Comedy,PG,0,"$30,000,000","$115,150,424",2009,0,0
1092,Funny People,Universal,Comedy,R,0,"$72,500,000","$71,880,305",2009,0,0
1093,I Can Do Bad All By Myself,Lionsgate,Comedy,PG-13,0,"$19,000,000","$51,733,921",2009,1,0
